product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_group,candidate_ext
36C,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,crosses_lockets,png
38C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
38C,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,crosses_lockets,png
38C,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,crosses_lockets,png
38C,crosses,4,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
38C,crosses,5,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
38P,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
38P,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,crosses_lockets,png
38P,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,crosses_lockets,png
38P,crosses,4,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
38P,crosses,5,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
43CD,crosses,1,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,crosses_lockets,png
43CD,crosses,2,fuzzy,low,40,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,crosses_lockets,png
51D,crosses,1,fuzzy,medium,53,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
51D,crosses,2,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,crosses_lockets,png
51D,crosses,3,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,crosses_lockets,png
51D,crosses,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
51D,crosses,5,fuzzy,low,27,8ND,8ND,accessories_php/images/Crosses_and_Lockets/8ND.png,images,crosses_lockets,png
51P,crosses,1,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
51P,crosses,2,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,crosses_lockets,png
51P,crosses,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
51P,crosses,4,fuzzy,low,27,5NH,5NH,accessories_php/images/Crosses_and_Lockets/5NH.png,images,crosses_lockets,png
51PD,crosses,1,fuzzy,low,40,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
51PD,crosses,2,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,crosses_lockets,png
52C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
52C,crosses,2,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
52C,crosses,3,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,crosses_lockets,png
52C,crosses,4,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
52C,crosses,5,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
93C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
93C,crosses,2,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,crosses_lockets,png
93C,crosses,3,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
93C,crosses,4,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
