product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_ext
26E,crosses,2,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
26E,crosses,3,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
26E,crosses,4,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
26E,crosses,5,fuzzy,low,27,L26,L26,accessories_php/images/Crosses_and_Lockets/L26.png,images,png
27,crosses,1,fuzzy,medium,53,L27,L27,accessories_php/images/Crosses_and_Lockets/L27.png,images,png
27,crosses,2,fuzzy,medium,40,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
27,crosses,3,fuzzy,medium,40,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
27,crosses,4,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
27,crosses,5,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
28,crosses,1,fuzzy,medium,40,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
28,crosses,2,fuzzy,medium,40,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
28,crosses,3,fuzzy,medium,40,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
28,crosses,4,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
28,crosses,5,fuzzy,low,27,L27,L27,accessories_php/images/Crosses_and_Lockets/L27.png,images,png
33,crosses,1,fuzzy,medium,40,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
33,crosses,2,fuzzy,medium,40,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
33,crosses,3,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
33,crosses,4,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
33,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
33C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
33C,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
33C,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
33C,crosses,4,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
33C,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
33E,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
33E,crosses,2,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
