product_id,product_name,old_subcategory,image_files,matched_folders,new_subcategory,action
F2507,,,,,mother_daughter,keep
F2513,,,,,mother_daughter,keep
F2520_Alt1,"Jewelry Item",,family_php/images/Mother/F2520_Alt1.jpg,,mother_daughter,keep
F2520_Alt2,"Jewelry Item",,family_php/images/Mother/F2520_Alt2.png,,mother_daughter,keep
F2520_Alt3,"Jewelry Item",,family_php/images/Mother/F2520_Alt3.png,,mother_daughter,keep
F2520.1,"Jewelry Item",,family_php/thumbs/images/Mother/F2520.1.png,,mother_daughter,keep
F2523,,,,,mother_daughter,keep
F2524_Alt1,"Jewelry Item",,family_php/images/Mother/F2524_Alt1.png,,mother_daughter,keep
F2524_Alt2,"Jewelry Item",,family_php/images/Mother/F2524_Alt2.png,,mother_daughter,keep
F2524_Alt3,"Jewelry Item",,family_php/images/Mother/F2524_Alt3.png,,mother_daughter,keep
F2526,,,,,mother_daughter,keep
F2530_Alt3,"Jewelry Item",,family_php/images/Mother/F2530_Alt3.png,,mother_daughter,keep
F2530-0,"Jewelry Item",,family_php/thumbs/images/Mother/F2530-0.png,,mother_daughter,keep
F2530-1,"Jewelry Item",,family_php/thumbs/images/Mother/F2530-1.png,,mother_daughter,keep
F2531_Alt1,"Jewelry Item",,family_php/images/Mother/F2531_Alt1.png,,mother_daughter,keep
F2531_Alt2,"Jewelry Item",,family_php/images/Mother/F2531_Alt2.png,,mother_daughter,keep
F2531_Alt3,"Jewelry Item",,family_php/images/Mother/F2531_Alt3.png,,mother_daughter,keep
F2532_Alt3,"Jewelry Item",,family_php/images/Mother/F2532_Alt3.png,,mother_daughter,keep
F2536,,,,,mother_daughter,keep
F2537,,,,,mother_daughter,keep
F2539,,,,,mother_daughter,keep
F2540_Alt1,"Jewelry Item",,family_php/images/Mother/F2540_Alt1.png,,mother_daughter,keep
F2540_Alt2,"Jewelry Item",,family_php/images/Mother/F2540_Alt2.png,,mother_daughter,keep
F2540_Alt3,"Jewelry Item",,family_php/images/Mother/F2540_Alt3.png,,mother_daughter,keep
F2541,,,,,mother_daughter,keep
F2543,,,,,mother_daughter,keep
F2544,,,,,mother_daughter,keep
F2545,,,,,mother_daughter,keep
F2547_Alt1,"Jewelry Item",,family_php/images/Mother/F2547_Alt1.png,,mother_daughter,keep
F2547_Alt2,"Jewelry Item",,family_php/images/Mother/F2547_Alt2.png,,mother_daughter,keep
F2547_Alt3,"Jewelry Item",,family_php/images/Mother/F2547_Alt3.png,,mother_daughter,keep
F2550,,,,,mother_daughter,keep
F2552TestR,"Galaxy Band",,family_php/images/Mother/F2552TestR.png,,mother_daughter,keep
F2552TestW,"Galaxy Band",,family_php/images/Mother/F2552TestW.png,,mother_daughter,keep
F2552TestY,"Galaxy Band",,family_php/images/Mother/F2552TestY.png,,mother_daughter,keep
F2553,,,,,mother_daughter,keep
F2554_Alt1,"Jewelry Item",,family_php/images/Mother/F2554_Alt1.png,,mother_daughter,keep
F2554_Alt2,"Jewelry Item",,family_php/images/Mother/F2554_Alt2.png,,mother_daughter,keep
F2554_Alt3,"Jewelry Item",,family_php/images/Mother/F2554_Alt3.png,,mother_daughter,keep
F2556_Alt1,"Jewelry Item",,family_php/images/Mother/F2556_Alt1.png,,mother_daughter,keep
F2556_Alt2,"Jewelry Item",,family_php/images/Mother/F2556_Alt2.png,,mother_daughter,keep
F2556_Alt3,"Jewelry Item",,family_php/images/Mother/F2556_Alt3.png,,mother_daughter,keep
F2557,,,,,mother_daughter,keep
F2558,,,,,mother_daughter,keep
F2559,,,,,mother_daughter,keep
F2560_Alt1,"Jewelry Item",,family_php/images/Mother/F2560_Alt1.png,,mother_daughter,keep
F2560_Alt2,"Jewelry Item",,family_php/images/Mother/F2560_Alt2.png,,mother_daughter,keep
