BAR040|E40|20250131|620345|ENGRAVING      |20250116|       3.50 |      1 |       0.00 |MO
BAR040|I50|20251130|621366|13-G80/10K     |20251112|     398.50 |      1 |     133.69 |MO
BAR040|R10|20250531|620715|REPAIRS        |20250502|       0.00 |      1 |       0.00 |PH
BAR040|W40|20250131|620345|3T18L/14KW     |20250116|     438.25 |      1 |     117.59 |MO
BAR040|W80|20250531|620715|5392M/10K      |20250502|    1049.00 |      1 |     267.42 |PH
BAR048|C20|20250531|620821|S19B/STER      |20250522|      77.75 |      1 |      31.79 |PH
BAR048|E20|20250331|620563|EB13/10K       |20250327|     220.75 |      1 |      68.91 |PH
BAR048|E40|20250228|620442|ENGRAVING      |20250225|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250331|620563|ENGRAVING      |20250327|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250531|620730|ENGRAVING      |20250506|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250531|620745|ENGRAVING      |20250508|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250531|620821|ENGRAVING      |20250522|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250531|620837|ENGRAVING      |20250529|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250531|620849|ENGRAVING      |20250529|       3.50-|      1-|       0.00 |PH
BAR048|E40|20250630|620924|ENGRAVING      |20250617|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250630|620937|ENGRAVING      |20250618|       7.00 |      2 |       0.00 |PH
BAR048|E40|20250630|620974|ENGRAVING      |20250624|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250731|621021|ENGRAVING      |20250709|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250831|621133|ENGRAVING      |20250818|       3.50 |      1 |       0.00 |PH
BAR048|E40|20250831|621135|ENGRAVING      |20250818|       2.60-|      1-|       0.00 |PH
BAR048|E40|20251231|621436|ENGRAVING      |20251203|       3.50 |      1 |       0.00 |PH
BAR048|E40|20251231|621437|ENGRAVING      |20251203|       3.50 |      1 |       0.00 |PH
BAR048|E40|20251231|621485|ENGRAVING      |20251210|       3.50 |      1 |       0.00 |MO
BAR048|E40|20260228|621664|ENGRAVING      |20260219|       3.50 |      1 |       0.00 |PH
BAR048|J30|20250630|620974|BR4/STERB      |20250624|      53.00 |      1 |      23.34 |PH
BAR048|J30|20250630|620974|BR5/STERB      |20250624|      53.00 |      1 |      23.34 |PH
BAR048|J30|20250630|620974|BR6/STERB      |20250624|      53.00 |      1 |      23.34 |PH
BAR048|J30|20260131|621615|BR4/STERB      |20260129|     106.00 |      2 |      71.10 |PH
BAR048|J30|20260131|621615|BR6/STERB      |20260129|     106.00 |      2 |      71.10 |PH
BAR048|J40|20250630|620974|BR4/GFB        |20250624|     106.00 |      2 |      46.68 |PH
BAR048|J40|20250630|620974|BR5/GFB        |20250624|     106.00 |      2 |      46.68 |PH
BAR048|J40|20250630|620974|BR6/GFB        |20250624|     106.00 |      2 |      46.68 |PH
BAR048|J40|20260131|621615|BR4/GFB        |20260129|     106.00 |      2 |      71.10 |PH
BAR048|J40|20260131|621615|BR6/GFB        |20260129|     106.00 |      2 |      71.10 |PH
BAR048|N60|20260131|621615|44E/GFB        |20260129|     124.50 |      1 |      62.56 |PH
BAR048|Q01|20250430|620644|C58M/10K       |20250417|     833.00 |      1 |     197.13 |PH
BAR048|R10|20250831|621134|REPAIRS        |20250818|      30.00 |      2 |       0.00 |RP
BAR048|S01|20250331|620563|1304/10K       |20250327|     259.50 |      1 |      73.59 |PH
BAR048|S01|20250331|620563|1304HEM/10K    |20250327|     260.75 |      1 |      74.29 |PH
BAR048|S01|20250930|621185|1304HEM/10K    |20250909|     598.50 |      2 |     148.58 |PH
BAR048|U01|20250131|620383|RN1/10K        |20250130|     317.25 |      1 |      91.64 |PH
BAR048|U01|20250531|620730|CCA1/10K       |20250506|     688.50 |      2 |     183.28 |PH
BAR048|U01|20250531|620745|LPN301B/10K    |20250508|     525.00 |      1 |     130.23 |PH
BAR048|U01|20250531|620837|CCA1/10K       |20250529|     344.25 |      1 |      91.64 |PH
BAR048|U01|20250731|621021|CCA1/10K       |20250709|     344.00 |      1 |      91.64 |PH
BAR048|U01|20251231|621437|LPN1/10K       |20251203|     428.00 |      1 |     258.02 |PH
BAR048|U01|20251231|621437|RN1/10K        |20251203|     431.00 |      1 |     259.87 |PH
BAR048|U20|20250531|620730|RN1/STER       |20250506|     114.50 |      1 |      36.69 |PH
BAR048|U20|20250930|621219|CCA1/STER      |20250918|      78.50 |      1 |      34.84 |PH
BAR048|U20|20251031|621321|CCA1/STER      |20251030|      78.50 |      1 |      34.84 |PH
BAR048|U20|20251031|621321|LPN1/STER      |20251030|      78.50 |      1 |      36.52 |PH
BAR048|U20|20260228|621664|LPN1/STER      |20260219|     272.50 |      3 |     122.55 |PH
BAR048|X20|20250531|620745|PS11L/STER     |20250508|      43.25 |      1 |      17.44 |PH
BAR048|Z01|20250531|620821|SR21B/10K      |20250522|     418.50 |      1 |     106.04 |PH
BAR048|Z01|20250630|620924|CLAS.PET/10K   |20250617|     502.75 |      1 |     128.59 |PH
BAR048|Z01|20250630|620937|CLAS.SM/10K    |20250618|     648.50 |      1 |     158.59 |PH
BAR048|Z10|20250131|620383|CLAS.PET/STER  |20250130|     116.00 |      1 |      44.40 |PH
BAR048|Z10|20250228|620442|SR91B/STER     |20250225|      97.75 |      1 |      47.93 |PH
BAR048|Z10|20250531|620821|SR17B/STER     |20250522|      92.75 |      1 |      44.77 |PH
BAR048|Z10|20250531|620837|SR55B/STER     |20250529|      92.75 |      1 |      44.77 |PH
BAR048|Z10|20250630|620937|CLAS.PET/STER  |20250618|     102.00 |      1 |      44.40 |PH
BAR048|Z10|20250630|620974|SR17B/STER     |20250624|     128.75 |      1 |      44.77 |PH
BAR048|Z10|20250831|621133|SR21B/STER     |20250818|     128.75 |      1 |      44.77 |PH
BAR048|Z10|20250831|621135|SR17B/STER     |20250818|      96.55-|      1-|      44.77-|PH
BAR048|Z10|20251231|621436|CLAS.PET/STER  |20251203|     204.00 |      2 |      88.80 |PH
BAR048|Z10|20251231|621436|SR77B/STER     |20251203|     116.00 |      1 |      46.38 |PH
BAR048|Z20|20250331|620563|CLAS.LG/10K    |20250327|    1196.00 |      1 |     307.75 |PH
BAR048|Z30|20251231|621485|CLAS.MD.M/STER |20251210|     124.00 |      1 |      57.89 |MO
BAT035|C20|20251130|621364|S180M/STER     |20251112|     270.00 |      1 |      71.44 |MO
BAT035|E40|20251130|621364|ENGRAVING      |20251112|       3.50 |      1 |       0.00 |MO
BAT035|Q30|20250531|620830|CM15/STER      |20250526|     122.75 |      1 |      41.69 |MO
BEL061|U01|20250228|620464|FFCWM/10K      |20250227|    1021.50 |      1 |     260.60 |PH
BEN048|F01|20250228|620445|F2584/10K      |20250226|    1443.00 |      1 |     156.51 |PH
BEN048|F01|20250831|621123|F2539/14K      |20250814|     463.00 |      1 |     113.58 |PH
BEN048|S20|20250630|620980|DAUGHTERS/STER |20250624|     107.00 |      1 |      30.61 |PH
BEN048|S20|20251130|621349|C95/STER       |20251106|    1080.00 |     12 |     513.24 |MO
BEN048|W01|20250930|621181|200L/10KY      |20250904|     239.50 |      1 |      55.34 |MO
BEN048|W01|20250930|621181|250L/10KY      |20250904|     199.50 |      1 |      46.50 |MO
BEN048|W01|20250930|621181|300L/10KY      |20250904|     563.50 |      2 |     129.30 |MO
BEN048|W01|20250930|621181|4T18M/10KY     |20250904|     537.00 |      1 |     122.07 |MO
BEN048|W01|20250930|621181|5T18M/10KY     |20250904|     612.00 |      1 |     138.59 |MO
BEN048|W01|20250930|621181|600L/10KY      |20250904|     497.00 |      1 |     113.80 |MO
BEN048|W01|20250930|621181|6T18L/10KW     |20250904|     633.00 |      1 |     143.81 |MO
BEN048|W01|20250930|621181|6T18M/10KY     |20250904|     749.00 |      1 |     169.39 |MO
BEN048|W01|20250930|621181|8T18M/10KY     |20250904|     907.00 |      1 |     204.51 |MO
BEN048|W01|20250930|621220|600TM/10KY     |20250918|     900.00 |      1 |     195.21 |PH
BEN048|W20|20250930|621181|300L/10KW      |20250904|     282.00 |      1 |      64.65 |MO
BEN048|W20|20250930|621181|7T18M/10KW     |20250904|     843.00 |      1 |     190.33 |MO
BEN048|W50|20250430|620659|800M/18K       |20250422|    1791.00 |      1 |     425.76 |PH
BEN048|W60|20250131|620335|1T006M/10K     |20250114|     752.50 |      1 |     204.78 |PH
BEN048|W60|20250430|620668|4T94M/10KTT    |20250424|     703.00 |      1 |     184.02 |PH
BLA053|E40|20250430|620687|ENGRAVING      |20250430|       0.00 |      2 |       0.00 |MO
